ProductID,CAtomCount,TotalAtomCount,HAtomCount,Class,Predicted
963,26,60,27,low,low
964,25,60,29,low,low
965,38,72,29,low,low
966,26,50,18,low,low
967,15,36,13,low,low
968,16,34,6,low,low
969,23,47,19,low,low
970,38,62,24,low,low
971,57,126,63,low,low
972,40,74,32,low,low
973,30,69,30,low,low
974,18,45,16,low,low
975,13,29,12,low,low
976,24,48,19,low,low
977,27,54,23,low,low
978,27,57,24,low,low
979,35,80,36,low,low
980,15,38,17,low,low
981,46,92,37,low,low
982,23,49,23,low,low
983,19,38,12,low,low
984,32,58,21,low,high
985,62,112,46,low,low
986,21,38,16,low,low
987,17,42,15,low,low
988,41,114,49,high,high
989,32,62,26,low,low
990,39,81,41,low,low
991,19,45,24,low,low
992,9,17,6,low,low
993,31,67,27,low,low
994,20,47,25,low,low
995,34,55,17,low,low
996,42,76,32,low,low
997,18,36,11,low,low
998,17,31,13,low,low
999,24,49,18,low,low
1000,19,35,14,low,low
1001,52,103,45,low,low
1002,34,66,31,low,low
1003,34,72,30,low,low
1004,18,32,8,low,low
1005,16,34,16,low,low
1006,21,38,11,low,low
1007,48,88,30,low,low
1008,40,98,45,high,high
1009,48,84,26,low,low
1010,26,49,19,low,low
1011,41,91,50,low,low
1012,21,48,22,low,low
1013,22,44,17,low,low
1014,24,40,16,low,low
1015,25,55,21,low,low
1016,17,32,11,low,low
1017,18,32,11,low,low
1018,36,95,41,low,low
1019,21,41,17,low,low
1020,25,73,31,low,low
1021,21,50,23,low,high
1022,12,27,11,low,low
1023,48,94,44,low,low
1024,22,51,21,high,high
1025,21,39,15,low,low
1026,19,40,17,low,low
1027,19,39,14,low,low
1028,82,185,90,low,low
1029,12,27,10,low,low
1030,20,44,16,low,low
1031,29,57,21,low,low
1032,25,47,17,low,low
1033,134,281,134,low,low
1034,36,64,25,low,low
1035,134,281,134,low,low
1036,62,137,72,low,low
1037,34,90,44,low,low
1038,18,32,8,low,low
1039,52,111,49,high,high
1040,63,111,42,low,low
1041,20,43,16,low,low
1042,17,36,16,low,low
1043,42,67,24,high,low
1044,26,51,20,low,low
1045,52,111,52,low,low
1046,33,72,31,low,low
1047,24,57,30,low,low
1048,27,55,19,high,high
1049,17,30,8,low,low
1050,21,47,17,low,low
1051,26,59,31,low,low
1052,15,30,14,low,low
1053,18,38,18,low,low
1054,40,103,49,high,high
1055,23,49,22,low,low
1056,20,49,22,low,low
1057,24,50,18,low,low
